# Apocalipsis 4 — walk
# One line per Spanish unit: TR token index (or indices) | surface |
# Surfaces concatenate to translation/nt/apocalipsis.md.
# Leftovers attached, not dropped: 4:8 καί; 4:9 καί; 4:11 καί.

# 4:1
1,2|Después de esto |
3|vi, |
4|y |
5|he aquí: |
6|una puerta |
7|abierta |
8,9,10|en el cielo, |
11|y |
12,13,14,15|la primera voz |
16|que |
17|oí, |
18,19|como de trompeta |
20|que hablaba |
21,22|conmigo, |
23|decía: |
24|Sube |
25|aquí |
26|y |
28|te |
27|mostraré |
29|lo que |
30|debe |
31|suceder |
32,33|después de esto.|

# 4:2
1|Y |
2|enseguida |
3|estuve |
4,5|en el Espíritu, |
6|y |
7|he aquí: |
8|un trono |
9|estaba puesto |
10,11,12|en el cielo, |
13|y |
17|uno sentado |
14,15,16|en el trono.|

# 4:3
1|y |
2,3|el que estaba sentado |
4|era |
5|semejante |
6|en apariencia |
7|a una piedra |
8|de jaspe |
9|y |
10|de cornalina, |
11|y |
12|había un arcoíris |
13,14,15|alrededor del trono, |
16|semejante |
17|en apariencia |
18|a una esmeralda.|

# 4:4
1|y |
2,3,4|alrededor del trono |
5,6,7,8|había veinticuatro tronos, |
9|y |
10,11,12|sobre los tronos |
13|vi |
14,15,16,17|a los veinticuatro |
18|ancianos |
19|sentados, |
20|vestidos |
21,22,23|con ropas blancas, |
24|y |
25|tenían |
26,27,28,29|sobre sus cabezas |
30|coronas |
31|de oro.|

# 4:5
1|y |
2,3,4|del trono |
5|salen |
6|relámpagos |
7|y |
8|truenos |
9|y |
10|voces, |
11|y |
12,13|siete lámparas |
14|de fuego |
15|ardiendo |
16,17,18|delante del trono |
19|que |
20|son |
21,22,23|los siete espíritus |
24,25|de Dios.|

# 4:6
1|y |
2,3,4|delante del trono, |
5|un mar |
6|de vidrio |
7|semejante |
8|al cristal. |
9|Y |
10,11|en medio |
12,13|del trono |
14|y |
15|alrededor |
16,17|del trono, |
18|cuatro |
19|seres vivientes |
20|llenos |
21|de ojos |
22|por delante |
23|y |
24|por detrás.|

# 4:7
1|y |
2,3,4,5|el primer ser viviente |
6|semejante |
7|a un león, |
8|y |
9,10,11|el segundo ser viviente |
12|semejante |
13|a un becerro, |
14|y |
15,16,17|el tercer ser viviente |
18|tenía |
19,20|el rostro |
21|como |
22|un hombre, |
23|y |
24,25,26|el cuarto ser viviente |
27|semejante |
28|a un águila |
29|que vuela.|

# 4:8
1|y |
2|los cuatro |
3|seres vivientes, |
4,5,6|cada uno por sí, |
7|tenían |
8,9,10|seis alas; |
11|alrededor |
12|y |
13|por dentro |
14|están llenos |
15|de ojos |
16|y |
18|no |
19|tienen |
17|descanso |
20|día |
21|y |
22|noche, |
23|diciendo: |
24|Santo, |
25|santo, |
26|santo, |
27|el Señor |
28,29|Dios, |
30,31|el Todopoderoso, |
32,33|el que era, |
34,35,36|el que es |
37|y |
38,39|el que viene.|

# 4:9
1|y |
2|cuando |
4,5|los seres vivientes |
3|den |
6|gloria, |
7,8|honra |
9|y |
10|agradecimiento |
11,12|al que está sentado |
13,14,15|en el trono, |
16,17|al que vive |
18,19,20|por los siglos |
21,22|de los siglos.|

# 4:10
2,3,4,5|los veinticuatro |
6|ancianos |
1|caerán |
7,8,9|delante del que está sentado |
10,11,12|en el trono, |
13|y |
14|adoran |
15,16|al que vive |
17,18,19|por los siglos |
20,21|de los siglos, |
22|y |
23|echan |
24,25,26|sus coronas |
27,28,29|delante del trono, |
30|diciendo:|

# 4:11
1|Digno |
2|eres, |
3|Señor, |
4|de recibir |
5,6|la gloria, |
7,8,9|la honra |
10|y |
11,12|el poder, |
13|porque |
14|tú |
15|creaste |
16,17|todas las cosas, |
18|y |
19,20,21,22|por tu voluntad |
23|existen |
24|y |
25|fueron creadas.|
