1:1	אדם|HNp|  שת|HNp|  אנוש|HNp|
1:2	קינן|HNp|  מהללאל|HNp|  ירד|HNp|
1:3	חנוך|HNp|  מתושלח|HNp|  למך|HNp|
1:4	נח|HNp|  שם|HNp|  חם|HNp|  ויפת|HC/Np|
1:5	בני|HNcmpc|SON  יפת|HNp|  גמר|HNp|  ומגוג|HC/Np|  ומדי|HC/Np|  ויון|HC/Np|  ותבל|HC/Np|  ומשך|HC/Np|  ותירס|HC/Np|
1:6	ובני|HC/Ncmpc|SON  גמר|HNp|  אשכנז|HNp|  ודיפת|HC/Np|  ותוגרמה|HC/Np|
1:7	ובני|HC/Ncmpc|SON  יון|HNp|  אלישה|HNp|  ותרשישה|HC/Np/Sh|  כתים|HNp|  ורודנים|HC/Np|
1:8	בני|HNcmpc|SON  חם|HNp|  כוש|HNp|  ומצרים|HC/Np|  פוט|HNp|  וכנען|HC/Np|
1:9	ובני|HC/Ncmpc|SON  כוש|HNp|  סבא|HNp|  וחוילה|HC/Np|  וסבתא|HC/Np|  ורעמא|HC/Np|  וסבתכא|HC/Np|  ובני|HC/Ncmpc|SON  רעמא|HNp|  שבא|HNp|  ודדן|HC/Np|
1:10	וכוש|HC/Np|  ילד|HVqp3ms|BRING FORTH (V)  את|HTo|AT  נמרוד|HNp|  הוא|HPp3ms|SHE  החל|HVhp3ms|DRILL (V)  להיות|HR/Vqc|EXIST (V)  גבור|HAamsa|MIGHTY  בארץ|HRd/Ncbsa|LAND
1:11	ומצרים|HC/Np|  ילד|HVqp3ms|BRING FORTH (V)  את|HTo|AT  ואת|HC/To|AT  ענמים|HNp|  ואת|HC/To|AT  להבים|HNp|  ואת|HC/To|AT  נפתחים|HNp|
1:12	ואת|HC/To|AT  פתרסים|HNp|  ואת|HC/To|AT  כסלחים|HNp|  אשר|HTr|WHICH  יצאו|HVqp3cp|GO OUT (V)  משם|HR/D|THERE  פלשתים|HNgmpa|  ואת|HC/To|AT  כפתרים|HNgmpa|
1:13	וכנען|HC/Np|  ילד|HVqp3ms|BRING FORTH (V)  את|HTo|AT  צידון|HNp|  בכרו|HNcmsc/Sp3ms|FIRSTBORN  ואת|HC/To|AT  חת|HNp|
1:14	ואת|HC/To|AT  היבוסי|HTd/Ngmsa|  ואת|HC/To|AT  האמרי|HTd/Ngmsa|  ואת|HC/To|AT  הגרגשי|HTd/Ngmsa|
1:15	ואת|HC/To|AT  החוי|HTd/Ngmsa|  ואת|HC/To|AT  הערקי|HTd/Ngmsa|  ואת|HC/To|AT  הסיני|HTd/Ngmsa|
1:16	ואת|HC/To|AT  הארודי|HTd/Ngmsa|  ואת|HC/To|AT  הצמרי|HTd/Ngmsa|  ואת|HC/To|AT  החמתי|HTd/Ngmsa|
1:17	בני|HNcmpc|SON  שם|HNp|  עילם|HNp|  ואשור|HC/Np|  וארפכשד|HC/Np|  ולוד|HC/Np|  וארם|HC/Np|  ועוץ|HC/Np|  וחול|HC/Np|  וגתר|HC/Np|  ומשך|HC/Np|
1:18	וארפכשד|HC/Np|  ילד|HVqp3ms|BRING FORTH (V)  את|HTo|AT  שלח|HNp|  ושלח|HC/Np|  ילד|HVqp3ms|BRING FORTH (V)  את|HTo|AT  עבר|HNp|
1:19	ולעבר|HC/R/Np|  ילד|HVPp3ms|BRING FORTH (V)  שני|HAcmdc|TWO  בנים|HNcmpa|SON  שם|HNcmsc|TITLE  האחד|HTd/Acmsa|UNIT  פלג|HNp|  כי|HC|GIVEN THAT  בימיו|HR/Ncmpc/Sp3ms|DAY  נפלגה|HVNp3fs|SPLIT (V)  הארץ|HTd/Ncbsa|LAND  ושם|HC/Ncmsc|TITLE  אחיו|HNcmsc/Sp3ms|BROTHER  יקטן|HNp|
1:20	ויקטן|HC/Np|  ילד|HVqp3ms|BRING FORTH (V)  את|HTo|AT  אלמודד|HNp|  ואת|HC/To|AT  שלף|HNp|  ואת|HC/To|AT  חצרמות|HNp|  ואת|HC/To|AT  ירח|HNp|
1:21	ואת|HC/To|AT  הדורם|HNp|  ואת|HC/To|AT  אוזל|HNp|  ואת|HC/To|AT  דקלה|HNp|
1:22	ואת|HC/To|AT  עיבל|HNp|  ואת|HC/To|AT  אבימאל|HNp|  ואת|HC/To|AT  שבא|HNp|
1:23	ואת|HC/To|AT  אופיר|HNp|  ואת|HC/To|AT  חוילה|HNp|  ואת|HC/To|AT  יובב|HNp|  כל|HNcmsc|ALL  אלה|HPdxcp|THESE  בני|HNcmpc|SON  יקטן|HNp|
1:24	שם|HNp|  ארפכשד|HNp|  שלח|HNp|
1:25	עבר|HNp|  פלג|HNp|  רעו|HNp|
1:26	שרוג|HNp|  נחור|HNp|  תרח|HNp|
1:27	אברם|HNp|  הוא|HPp3ms|SHE  אברהם|HNp|
1:28	בני|HNcmpc|SON  אברהם|HNp|  יצחק|HNp|  וישמעאל|HC/Np|
1:29	אלה|HPdxcp|THESE  תלדותם|HNcfpc/Sp3mp|BIRTHING  בכור|HNcmsc|FIRSTBORN  ישמעאל|HNp|  נביות|HNp|  וקדר|HC/Np|  ואדבאל|HC/Np|  ומבשם|HC/Np|
1:30	משמע|HNp|  ודומה|HC/Np|  משא|HNp|  חדד|HNp|  ותימא|HC/Np|
1:31	יטור|HNp|  נפיש|HNp|  וקדמה|HC/Np|  אלה|HPdxcp|THESE  הם|HPp3mp|THEY(m)  בני|HNcmpc|SON  ישמעאל|HNp|
1:32	ובני|HC/Ncmpc|SON  קטורה|HNp|  פילגש|HNcfsc|  אברהם|HNp|  ילדה|HVqp3fs|BRING FORTH (V)  את|HTo|AT  זמרן|HNp|  ויקשן|HC/Np|  ומדן|HC/Np|  ומדין|HC/Np|  וישבק|HC/Np|  ושוח|HC/Np|  ובני|HC/Ncmpc|SON  יקשן|HNp|  שבא|HNp|  ודדן|HC/Np|
1:33	ובני|HC/Ncmpc|SON  מדין|HNp|  עיפה|HNp|  ועפר|HC/Np|  וחנוך|HC/Np|  ואבידע|HC/Np|  ואלדעה|HC/Np|  כל|HNcmsc|ALL  אלה|HPdxcp|THESE  בני|HNcmpc|SON  קטורה|HNp|
