6:1	בני|HNcmpc|H1121|SON  לוי|HNp|H3878|  גרשון|HNp|H1648|  קהת|HNp|H6955|  ומררי|HC/Np|H4847|
6:2	ובני|HC/Ncmpc|H1121|SON  קהת|HNp|H6955|  עמרם|HNp|H6019|  יצהר|HNp|H3324|  וחברון|HC/Np|H2275|  ועזיאל|HC/Np|H5816|
6:3	ובני|HC/Ncmpc|H1121|SON  עמרם|HNp|H6019|  אהרן|HNp|H175|  ומשה|HC/Np|H4872|  ומרים|HC/Np|H4813|  ובני|HC/Ncmpc|H1121|SON  אהרן|HNp|H175|  נדב|HNp|H5070|  ואביהוא|HC/Np|H30|  אלעזר|HNp|H499|  ואיתמר|HC/Np|H385|
6:4	אלעזר|HNp|H499|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  פינחס|HNp|H6372|  פינחס|HNp|H6372|  הליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  אבישוע|HNp|H50|
6:5	ואבישוע|HC/Np|H50|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  בקי|HNp|H1231|  ובקי|HC/Np|H1231|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  עזי|HNp|H5813|
6:6	ועזי|HC/Np|H5813|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  זרחיה|HNp|H2228|  וזרחיה|HC/Np|H2228|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  מריות|HNp|H4812|
6:7	מריות|HNp|H4812|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  אמריה|HNp|H568|  ואמריה|HC/Np|H568|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  אחיטוב|HNp|H285|
6:8	ואחיטוב|HC/Np|H285|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  צדוק|HNp|H6659|  וצדוק|HC/Np|H6659|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  אחימעץ|HNp|H290|
6:9	ואחימעץ|HC/Np|H290|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  עזריה|HNp|H5838|  ועזריה|HC/Np|H5838|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  יוחנן|HNp|H3110|
6:10	ויוחנן|HC/Np|H3110|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  עזריה|HNp|H5838|  הוא|HPp3ms|H1931|SHE  אשר|HTr|H834|WHICH  כהן|HVpp3ms|H3547|ADORN (V)  בבית|HRd/Ncmsa|H1004|LODGE (V)  אשר|HTr|H834|WHICH  בנה|HVqp3ms|H1129|BUILD (V)  שלמה|HNp|H8010|  בירושלם|HR/Np|H3389|
6:11	ויולד|HC/Vhw3ms|H3205|BRING FORTH (V)  עזריה|HNp|H5838|  את|HTo|H853|AT  אמריה|HNp|H568|  ואמריה|HC/Np|H568|  הוליד|HVhp3ms|H3205|BRING FORTH (V)  את|HTo|H853|AT  אחיטוב|HNp|H285|
