## 11:1
01	וַיַּ֗עַל	H5927	HC/Vqw3ms	GO UP (V)
02	נָחָשׁ֙	H5176	HNp	
03	הָֽעַמּוֹנִ֔י	H5984	HTd/Ngmsa	
04	וַיִּ֖חַן	H2583	HC/Vqw3ms	CAMP (V)
05	עַל	H5921	HR	UPON
06	יָבֵ֣שׁ	H3003	HNp	
07	גִּלְעָ֑ד	H1568	HNp	
08	וַיֹּ֨אמְר֜וּ	H559	HC/Vqw3mp	SAY (V)
09	כָּל	H3605	HNcmsc	ALL
10	אַנְשֵׁ֤י	H376	HNcmpc	MAN
11	יָבֵישׁ֙	H3003	HNp	
12	אֶל	H413	HR	TO
13	נָחָ֔שׁ	H5176	HNp	
14	כְּרָת	H3772	HVqv2ms	CUT (V)
15	לָ֥נוּ		HR/Sp1cp	
16	בְרִ֖ית	H1285	HNcfsa	COVENANT
17	וְנַעַבְדֶֽךָּ	H5647	HC/Vqi1cp/Sp2ms	SERVE (V)

## 11:2
01	וַיֹּ֣אמֶר	H559	HC/Vqw3ms	SAY (V)
02	אֲלֵיהֶ֗ם	H413	HR/Sp3mp	TO
03	נָחָשׁ֙	H5176	HNp	
04	הָעַמּוֹנִ֔י	H5984	HTd/Ngmsa	
05	בְּזֹאת֙	H2063	HR/Pdxfs	THIS
06	אֶכְרֹ֣ת	H3772	HVqi1cs	CUT (V)
07	לָכֶ֔ם		HR/Sp2mp	
08	בִּנְק֥וֹר	H5365	HR/Vqc	PICK OUT (V)
09	לָכֶ֖ם		HR/Sp2mp	
10	כָּל	H3605	HNcmsc	ALL
11	עֵ֣ין	H5869	HNcbsc	EYE
12	יָמִ֑ין	H3225	HNcfsa	RIGHT HAND
13	וְשַׂמְתִּ֥יהָ	H7760	HC/Vqq1cs/Sp3fs	PLACE (V)
14	חֶרְפָּ֖ה	H2781	HNcfsa	DISGRACE
15	עַל	H5921	HR	UPON
16	כָּל	H3605	HNcmsc	ALL
17	יִשְׂרָאֵֽל	H3478	HNp	

## 11:3
01	וַיֹּאמְר֨וּ	H559	HC/Vqw3mp	SAY (V)
02	אֵלָ֜יו	H413	HR/Sp3ms	TO
03	זִקְנֵ֣י	H2205	HAampc	BEARD
04	יָבֵ֗ישׁ	H3003	HNp	
05	הֶ֤רֶף	H7503	HVhv2ms	SINK DOWN (V)
06	לָ֨נוּ֙		HR/Sp1cp	
07	שִׁבְעַ֣ת	H7651	HAcmsc	SEVEN
08	יָמִ֔ים	H3117	HNcmpa	DAY
09	וְנִשְׁלְחָה֙	H7971	HC/Vqh1cp	SEND (V)
10	מַלְאָכִ֔ים	H4397	HNcmpa	MESSENGER
11	בְּכֹ֖ל	H3605	HR/Ncmsc	ALL
