## 18:1
01	וַיִּפְקֹ֣ד	H6485	HC/Vqw3ms	REGISTER (V)
02	דָּוִ֔ד	H1732	HNp	
03	אֶת	H853	HTo	AT
04	הָעָ֖ם	H5971	HTd/Ncmsa	PEOPLE
05	אֲשֶׁ֣ר	H834	HTr	WHICH
06	אִתּ֑וֹ	H854	HR/Sp3ms	AT
07	וַיָּ֣שֶׂם	H7760	HC/Vqw3ms	PLACE (V)
08	עֲלֵיהֶ֔ם	H5921	HR/Sp3mp	UPON
09	שָׂרֵ֥י	H8269	HNcmpc	NOBLE
10	אֲלָפִ֖ים	H505	HAcbpa	THOUSAND
11	וְשָׂרֵ֥י	H8269	HC/Ncmpc	NOBLE
12	מֵאֽוֹת	H3967	HAcbpa	HUNDRED

## 18:2
01	וַיְשַׁלַּ֨ח	H7971	HC/Vpw3ms	SEND (V)
02	דָּוִ֜ד	H1732	HNp	
03	אֶת	H853	HTo	AT
04	הָעָ֗ם	H5971	HTd/Ncmsa	PEOPLE
05	הַשְּׁלִשִׁ֤ית	H7992	HTd/Ncfsa	THIRD
06	בְּיַד	H3027	HR/Ncbsc	HAND
07	יוֹאָב֙	H3097	HNp	
08	וְ֠הַשְּׁלִשִׁית	H7992	HC/Td/Ncfsa	THIRD
09	בְּיַ֨ד	H3027	HR/Ncbsc	HAND
10	אֲבִישַׁ֤י	H52	HNp	
11	בֶּן	H1121	HNcmsc	SON
12	צְרוּיָה֙	H6870	HNp	
13	אֲחִ֣י	H251	HNcmsc	BROTHER
14	יוֹאָ֔ב	H3097	HNp	
15	וְהַ֨שְּׁלִשִׁ֔ת	H7992	HC/Td/Aofsa	THIRD
16	בְּיַ֖ד	H3027	HR/Ncbsc	HAND
17	אִתַּ֣י	H863	HNp	
18	הַגִּתִּ֑י	H1663	HTd/Ngmsa	
19	וַיֹּ֤אמֶר	H559	HC/Vqw3ms	SAY (V)
20	הַמֶּ֨לֶךְ֙	H4428	HTd/Ncmsa	KING
21	אֶל	H413	HR	TO
22	הָעָ֔ם	H5971	HTd/Ncmsa	PEOPLE
23	יָצֹ֥א	H3318	HVqa	GO OUT (V)
24	אֵצֵ֛א	H3318	HVqi1cs	GO OUT (V)
25	גַּם	H1571	HTa	ALSO
26	אֲנִ֖י	H589	HPp1cs	I
27	עִמָּכֶֽם	H5973	HR/Sp2mp	WITH

## 18:3
01	וַיֹּ֨אמֶר	H559	HC/Vqw3ms	SAY (V)
02	הָעָ֜ם	H5971	HTd/Ncmsa	PEOPLE
03	לֹ֣א	H3808	HTn	NOT
04	תֵצֵ֗א	H3318	HVqi2ms	GO OUT (V)
05	כִּי֩	H3588	HC	GIVEN THAT
06	אִם	H518	HC	IF
07	נֹ֨ס	H5127	HVqa	FLEE (V)
08	נָנ֜וּס	H5127	HVqi1cp	FLEE (V)
09	לֹא	H3808	HTn	NOT
10	יָשִׂ֧ימוּ	H7760	HVqi3mp	PLACE (V)
11	אֵלֵ֣ינוּ	H413	HR/Sp1cp	TO
12	לֵ֗ב	H3820	HNcmsa	HEART
13	וְאִם	H518	HC/C	IF
14	יָמֻ֤תוּ	H4191	HVqi3mp	DIE (V)
15	חֶצְיֵ֨נוּ֙	H2677	HNcmsc/Sp1cp	HALF
16	לֹֽא	H3808	HTn	NOT
17	יָשִׂ֤ימוּ	H7760	HVqi3mp	PLACE (V)
18	אֵלֵ֨ינוּ֙	H413	HR/Sp1cp	TO
19	לֵ֔ב	H3820	HNcmsa	HEART
20	כִּֽי	H3588	HC	GIVEN THAT
21	עַתָּ֥ה	H6258	HD	NOW
22	כָמֹ֖נוּ	H3644	HR/Sp1cp	THAT ONE
23	עֲשָׂרָ֣ה	H6235	HAcmsa	TEN
24	אֲלָפִ֑ים	H505	HAcbpa	THOUSAND
25	וְעַתָּ֣ה	H6258	HC/D	NOW
26	ט֔וֹב	H2896	HAamsa	FUNCTIONAL
27	כִּי	H3588	HC	GIVEN THAT
28	תִֽהְיֶה	H1961	HVqi2ms	EXIST (V)
29	לָּ֥נוּ	None	HR/Sp1cp	
30	מֵעִ֖יר	H5892	HR/Ncfsa	CITY

## 18:4
01	וַיֹּ֤אמֶר	H559	HC/Vqw3ms	SAY (V)
02	אֲלֵיהֶם֙	H413	HR/Sp3mp	TO
03	הַמֶּ֔לֶךְ	H4428	HTd/Ncmsa	KING
04	אֲשֶׁר	H834	HTr	WHICH
05	יִיטַ֥ב	H3190	HVqi3ms	DO WELL (V)
06	בְּעֵינֵיכֶ֖ם	H5869	HR/Ncbdc/Sp2mp	EYE
07	אֶעֱשֶׂ֑ה	H6213	HVqi1cs	DO (V)
08	וַיַּעֲמֹ֤ד	H5975	HC/Vqw3ms	STAND (V)
09	הַמֶּ֨לֶךְ֙	H4428	HTd/Ncmsa	KING
10	אֶל	H413	HR	TO
11	יַ֣ד	H3027	HNcbsc	HAND
12	הַשַּׁ֔עַר	H8179	HTd/Ncmsa	GATE
13	וְכָל	H3605	HC/Ncmsc	ALL
14	הָעָם֙	H5971	HTd/Ncmsa	PEOPLE
15	יָֽצְא֔וּ	H3381	HVqp3cp	GO DOWN (V)
16	לְמֵא֖וֹת	H3967	HR/Acbpa	HUNDRED
17	וְלַאֲלָפִֽים	H505	HC/R/Acbpa	THOUSAND

## 18:5
01	וַיְצַ֣ו	H6680	HC/Vpw3ms	DIRECT (V)
02	הַמֶּ֡לֶךְ	H4428	HTd/Ncmsa	KING
03	אֶת	H853	HTo	AT
04	י֠וֹאָב	H3097	HNp	
05	וְאֶת	H853	HC/To	AT
06	אֲבִישַׁ֤י	H52	HNp	
07	וְאֶת	H853	HC/To	AT
08	אִתַּי֙	H863	HNp	
09	לֵאמֹ֔ר	H559	HR/Vqc	SAY (V)
10	לְאַט	H328	HR/D	SOFTLY
11	לִ֖י	None	HR/Sp1cs	
12	לַנַּ֣עַר	H5288	HRd/Ncmsa	YOUNG MAN
13	לְאַבְשָׁל֑וֹם	H53	HR/Np	
14	וְכָל	H3605	HC/Ncmsc	ALL
15	הָעָ֣ם	H5971	HTd/Ncmsa	PEOPLE
16	שָׁמְע֗וּ	H8085	HVqp3cp	HEAR (V)
17	בְּצַוֺּ֥ת	H6680	HR/Vpc	DIRECT (V)
18	הַמֶּ֛לֶךְ	H4428	HTd/Ncmsa	KING
19	אֶת	H853	HTo	AT
20	כָּל	H3605	HNcmsc	ALL
21	הַשָּׂרִ֖ים	H8269	HTd/Ncmpa	NOBLE
22	עַל	H5921	HR	UPON
23	דְּבַ֥ר	H1697	HNcmsc	WORD
24	אַבְשָׁלֽוֹם	H53	HNp	

## 18:6
01	וַיֵּצֵ֥א	H3318	HC/Vqw3ms	GO OUT (V)
02	הָעָ֛ם	H5971	HTd/Ncmsa	PEOPLE
03	הַשָּׂדֶ֖ה	H7704	HTd/Ncmsa	FIELD
04	לִקְרַ֣את	H7125	HR/Vqc	MEET (V)
05	יִשְׂרָאֵ֑ל	H3478	HNp	
06	וַתְּהִ֥י	H1961	HC/Vqw3fs	EXIST (V)
07	הַמִּלְחָמָ֖ה	H4421	HTd/Ncfsa	BATTLE
08	בְּיַ֥עַר	H3293	HR/Ncmsc	FOREST
09	אֶפְרָֽיִם	H669	HNp	

## 18:7
01	וַיִּנָּ֤גְפוּ	H5062	HC/VNw3mp	SMITE (V)
02	שָׁם֙	H8033	HD	THERE
03	עַ֣ם	H5971	HNcmsc	PEOPLE
04	יִשְׂרָאֵ֔ל	H3478	HNp	
05	לִפְנֵ֖י	H6440	HR/Ncbpc	FACE
06	עַבְדֵ֣י	H5650	HNcmpc	SERVANT
07	דָוִ֑ד	H1732	HNp	
08	וַתְּהִי	H1961	HC/Vqw3fs	EXIST (V)
09	שָׁ֞ם	H8033	HD	THERE
10	הַמַּגֵּפָ֧ה	H4046	HTd/Ncfsa	PESTILENCE
11	גְדוֹלָ֛ה	H1419	HAafsa	GREAT
12	בַּיּ֥וֹם	H3117	HRd/Ncmsa	DAY
13	הַה֖וּא	H1931	HTd/Pp3ms	SHE
14	עֶשְׂרִ֥ים	H6242	HAcbpa	TEN
15	אָֽלֶף	H505	HAcbsa	THOUSAND

## 18:8
01	וַתְּהִי	H1961	HC/Vqw3fs	EXIST (V)
02	שָׁ֧ם	H8033	HD	THERE
03	הַמִּלְחָמָ֛ה	H4421	HTd/Ncfsa	BATTLE
04	עַל	H5921	HR	UPON
05	פְּנֵ֣י	H6440	HNcbpc	FACE
06	כָל	H3605	HNcmsc	ALL
07	הָאָ֑רֶץ	H776	HTd/Ncbsa	LAND
