MACULA_IDs	MARBLE_IDs
o010010010011	00100100100002
o010010010012	00100100100004
o010010010021	00100100100006
o010010010031	00100100100008
o010010010041	00100100100010
o010010010051	00100100100012
o010010010052	00100100100014
o010010010061	00100100100016
o010010010062	00100100100018
o010010010071	00100100100020
o010010010072	00100100100022
o010010020011	00100100200002
o010010020012	00100100200004
o010010020013	00100100200006
o010010020021	00100100200008
o010010020031	00100100200010
o010010020041	00100100200012
o010010020042	00100100200014
o010010020051	00100100200016
o010010020052	00100100200018
o010010020061	00100100200020
o010010020071	00100100200022
o010010020081	00100100200024
o010010020091	00100100200026
o010010020092	00100100200028
o010010020101	00100100200030
o010010020111	00100100200032
o010010020121	00100100200034
o010010020131	00100100200036
o010010020141	00100100200038
o010010020142	00100100200040
o010010030011	00100100300002
o010010030012	00100100300004
o010010030021	00100100300006
o010010030031	00100100300008
o010010030041	00100100300010
o010010030051	00100100300012
o010010030052	00100100300014
o010010030061	00100100300016
o010010040011	00100100400002
o010010040012	00100100400004
o010010040021	00100100400006
o010010040031	00100100400008
o010010040041	00100100400010
o010010040042	00100100400012
o010010040051	00100100400014
o010010040061	00100100400016
o010010040071	00100100400018
o010010040072	00100100400020
o010010040081	00100100400022
o010010040091	00100100400024
o010010040101	00100100400026
o010010040102	00100100400028
o010010040111	00100100400030
o010010040112	00100100400032
o010010040121	00100100400034
o010010040122	00100100400036
o010010050011	00100100500002
o010010050012	00100100500004
o010010050021	00100100500006
o010010050031	00100100500008
o010010050032	00100100500012
o010010050041	00100100500014
o010010050051	00100100500016
o010010050052	00100100500018
o010010050053	00100100500022
o010010050061	00100100500024
o010010050071	00100100500026
o010010050081	00100100500028
o010010050082	00100100500030
o010010050091	00100100500032
o010010050101	00100100500034
o010010050102	00100100500036
o010010050111	00100100500038
o010010050121	00100100500040
o010010050131	00100100500042
o010010060011	00100100600002
o010010060012	00100100600004
o010010060021	00100100600006
o010010060031	00100100600008
o010010060041	00100100600010
o010010060051	00100100600012
o010010060052	00100100600014
o010010060061	00100100600016
o010010060062	00100100600018
o010010060071	00100100600020
o010010060072	00100100600022
o010010060081	00100100600024
o010010060091	00100100600026
o010010060101	00100100600028
o010010060111	00100100600030
o010010060112	00100100600032
o010010070011	00100100700002
o010010070012	00100100700004
o010010070021	00100100700006
o010010070031	00100100700008
o010010070041	00100100700010
o010010070042	00100100700012
o010010070051	00100100700014
o010010070052	00100100700016
o010010070061	00100100700018
o010010070071	00100100700020
o010010070072	00100100700022
o010010070081	00100100700024
o010010070091	00100100700026
o010010070092	00100100700028
o010010070101	00100100700030
o010010070102	00100100700034
o010010070111	00100100700036
o010010070112	00100100700038
o010010070121	00100100700040
o010010070122	00100100700042
o010010070131	00100100700044
o010010070141	00100100700046
o010010070142	00100100700048
o010010070151	00100100700050
o010010070152	00100100700054
o010010070161	00100100700056
o010010070162	00100100700058
o010010070171	00100100700060
o010010080011	00100100800002
o010010080012	00100100800004
o010010080021	00100100800006
o010010080031	00100100800008
o010010080032	00100100800012
o010010080041	00100100800014
o010010080051	00100100800016
o010010080052	00100100800018
o010010080061	00100100800020
o010010080071	00100100800022
o010010080072	00100100800024
o010010080081	00100100800026
o010010080091	00100100800028
o010010080101	00100100800030
o010010090011	00100100900002
o010010090012	00100100900004
o010010090021	00100100900006
o010010090031	00100100900008
o010010090041	00100100900010
o010010090042	00100100900012
o010010090051	00100100900014
o010010090052	00100100900016
o010010090061	00100100900018
o010010090062	00100100900020
o010010090071	00100100900022
o010010090081	00100100900024
o010010090091	00100100900026
o010010090101	00100100900028
o010010090102	00100100900030
o010010090111	00100100900032
o010010090112	00100100900034
o010010090121	00100100900036
o010010090122	00100100900038
o010010090131	00100100900040
o010010100011	00100101000002
o010010100012	00100101000004
o010010100021	00100101000006
o010010100031	00100101000008
o010010100032	00100101000012
o010010100041	00100101000014
o010010100051	00100101000016
o010010100052	00100101000018
o010010100053	00100101000020
o010010100061	00100101000022
o010010100062	00100101000024
o010010100071	00100101000026
o010010100081	00100101000028
o010010100091	00100101000030
o010010100092	00100101000032
o010010100101	00100101000034
o010010100111	00100101000036
o010010100121	00100101000038
o010010110011	00100101100002
o010010110012	00100101100004
o010010110021	00100101100006
o010010110031	00100101100008
o010010110041	00100101100010
o010010110042	00100101100012
o010010110051	00100101100014
o010010110061	00100101100016
o010010110071	00100101100018
o010010110081	00100101100020
o010010110091	00100101100022
o010010110101	00100101100024
o010010110111	00100101100026
o010010110121	00100101100028
o010010110131	00100101100030
o010010110132 o010010110133	00100101100032
o010010110141	00100101100034
o010010110151 o010010110152	00100101100036
o010010110161 o010010110162	00100101100038
o010010110171	00100101100040
o010010110181	00100101100042
o010010110182	00100101100044
o010010110191	00100101100046
o010010110192	00100101100048
o010010110201	00100101100050
o010010120011	00100101200002
o010010120012	00100101200004
o010010120021	00100101200006
o010010120022	00100101200008
o010010120031	00100101200010
o010010120041	00100101200012
o010010120051	00100101200014
o010010120061	00100101200016
o010010120071	00100101200018
o010010120072 o010010120073	00100101200020
o010010120081	00100101200022
o010010120082	00100101200024
o010010120091	00100101200026
o010010120101	00100101200028
o010010120111	00100101200030
o010010120121 o010010120122	00100101200032
o010010120131 o010010120132	00100101200034
o010010120141	00100101200036
o010010120142 o010010120143	00100101200038
o010010120151	00100101200040
o010010120152	00100101200042
o010010120161	00100101200044
o010010120171	00100101200046
o010010120181	00100101200048
o010010130011	00100101300002
o010010130012	00100101300004
o010010130021	00100101300006
o010010130031	00100101300008
o010010130032	00100101300010
o010010130041	00100101300012
o010010130051	00100101300014
o010010130061	00100101300016
o010010140011	00100101400002
o010010140012	00100101400004
o010010140021	00100101400006
o010010140031	00100101400008
o010010140041	00100101400010
o010010140051	00100101400012
o010010140052	00100101400014
o010010140061	00100101400016
o010010140062	00100101400018
o010010140071	00100101400020
o010010140072	00100101400022
o010010140081	00100101400024
o010010140091	00100101400026
o010010140092	00100101400028
o010010140101	00100101400030
o010010140102	00100101400032
o010010140111	00100101400034
o010010140112	00100101400036
o010010140121	00100101400038
o010010140122	00100101400040
o010010140131	00100101400042
o010010140132	00100101400044
o010010140141	00100101400046
o010010140142	00100101400048
o010010140143	00100101400050
o010010140151	00100101400052
o010010140152	00100101400054
