Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote	VerseId
GEN	1	3	d7qw	figs-imperative		0.0	Let there be light	This is a command. By commanding that light should exist, God made it exist. (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:3
GEN	1	5	jc2d	figs-merism		0.0	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. (See: [[rc://en/ta/man/translate/figs-merism]])	GEN 1:5
GEN	1	6	urb3	figs-imperative		0.0	Let there be an expanse…let it divide	These are commands. By commanding that the expanse should exist and that it divide the waters, God made it exist and divide the waters. (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:6
GEN	1	8	ss9r	figs-merism		0.0	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md). (See: [[rc://en/ta/man/translate/figs-merism]])	GEN 1:8
GEN	1	9	zu6f	figs-activepassive		0.0	Let the waters…be gathered	This can be translated with an active verb. This is a command. By commanding that the waters gather together, God made them gather together. Alternate translation: “Let the waters…gather” or “Let the waters…come together” (See: [[rc://en/ta/man/translate/figs-activepassive]] and [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:9
GEN	1	9	iv2c	figs-imperative		0.0	let the dry land appear	The water had covered the land. Now the water would move aside and some of the land would be uncovered. This is a command. By commanding that dry land should appear, God made it appear. Alternate translation: “let dry land become visible” or “let the dry land become clear” or “let the land be uncovered” (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:9
GEN	1	11	d9q7	figs-imperative		0.0	Let the earth sprout vegetation	This is a command. By commanding that vegetation should sprout on the earth, God made it sprout. Alternate translation: “Let vegetation sprout up on the earth” or “Let vegetation grow on the earth” (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:11
GEN	1	13	ch8e	figs-merism		0.0	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md). (See: [[rc://en/ta/man/translate/figs-merism]])	GEN 1:13
GEN	1	14	sr8w	figs-imperative		0.0	Let there be lights in the sky	This is a command. By commanding that lights should exist, God made them exist. (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:14
GEN	1	14	m2r4	figs-imperative		0.0	let them be as signs	This is a command. By commanding that they should serve as signs, God made them serve as signs. Alternate translation: “Let them serve as signs” or “let them show” (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:14
GEN	1	15	q4ne	figs-imperative		0.0	Let them be lights in the sky to give light upon the earth	This is a command. By commanding that they should light the earth, God made them light the earth. (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:15
GEN	1	16	byf5	figs-personification		0.0	to rule the day	The lights that controlled the day are spoken of as if they were a human ruler that controlled what people do. Alternate translation: “to direct the daytime as a ruler directs a group of people” or “to mark the times of the day” (See: [[rc://en/ta/man/translate/figs-personification]] and [[rc://en/ta/man/translate/figs-metaphor]])	GEN 1:16
GEN	1	19	ds1l	figs-merism		0.0	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md). (See: [[rc://en/ta/man/translate/figs-merism]])	GEN 1:19
GEN	1	20	uw3u	figs-imperative		0.0	Let the waters be filled with great numbers of living creatures	This is a command. By commanding that living creatures should fill the waters, God made them exist. Some languages may have one word that refers to all kinds of fish and sea animals. Alternate translation: “Let the waters be full of many living things” or “Let many animals that swim live in the oceans” (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:20
GEN	1	20	g6cj	figs-imperative		0.0	let birds fly	This is a command. By commanding that birds should fly, God made them fly. (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:20
GEN	1	22	ti8f	figs-doublet		0.0	Be fruitful and multiply	This is God’s blessing. He told the sea animals to produce more sea animals like themselves, so that there would be many of them in the seas. The word “multiply” explains how they are to be “fruitful.” (See: [[rc://en/ta/man/translate/figs-doublet]] and [[rc://en/ta/man/translate/figs-idiom]])	GEN 1:22
GEN	1	22	lm9s	figs-imperative		0.0	Let birds multiply	This is a command. By commanding that birds should multiply, God made birds multiply. (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:22
GEN	1	23	kpz8	figs-merism		0.0	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md). (See: [[rc://en/ta/man/translate/figs-merism]])	GEN 1:23
GEN	1	24	ke21	figs-imperative		0.0	Let the earth produce living creatures	“Let the earth produce living things” or “Let many living animals live on the earth.” This is a command. By commanding that the earth should produce living creatures, God made the earth produce living creatures. (See: [[rc://en/ta/man/translate/figs-imperative]])	GEN 1:24
GEN	1	26	x8fd	figs-pronouns		0.0	Let us make	The word “us” here refers to God. God was saying what he intended to do. The pronoun “us” is plural. Possible reasons for the plural use are (1) the plural form suggests that God is discussing something with the angels that make up his heavenly court or (2) the plural form foreshadows the later New Testament implications that God exists in the form of the Holy Trinity. Some translate it as “Let me make” or “I will make.” If you do this, consider adding a footnote to say that the word is plural. (See: [[rc://en/ta/man/translate/figs-pronouns]])	GEN 1:26
GEN	1	26	kt75	figs-doublet		0.0	in our image, after our likeness	These two phrases mean the same thing and emphasize that God made mankind to be like him. This verse does not tell in what ways God made people to be like himself. God does not have a body, so it does not mean that people would look like God. Alternate translation: “to truly be like us” (See: [[rc://en/ta/man/translate/figs-doublet]] and [[rc://en/ta/man/translate/figs-pronouns]])	GEN 1:26
GEN	1	27	qip4	figs-parallelism		0.0	God created man…he created him	These two sentences mean the same thing and emphasize that God created people in his own image. (See: [[rc://en/ta/man/translate/figs-parallelism]])	GEN 1:27
GEN	1	28	tfr1	figs-doublet		0.0	Be fruitful, and multiply	God told the man and the woman to produce more people like themselves so that there would be many of them. The word “multiply” explains how they are to be “fruitful.” See how you translated this in [Genesis 1:22](../01/22.md). (See: [[rc://en/ta/man/translate/figs-doublet]] and [[rc://en/ta/man/translate/figs-idiom]])	GEN 1:28
GEN	1	31	stn7	figs-merism		0.0	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md). (See: [[rc://en/ta/man/translate/figs-merism]])	GEN 1:31
GEN	2	1	yv5z	figs-activepassive		0.0	were finished	This can be stated in active form. Alternate translation: “God had finished creating them” (See: [[rc://en/ta/man/translate/figs-activepassive]])	GEN 2:1
